,Return AMZN,Returns S&P
,-0.461970872,1.591608159
,0.588264857,0.311083259
,-1.828178572,0.054537178
,-1.715962028,0.399321769
,2.671685886,0.287758302
,-2.43350975,0.174523163
,-2.297702609,-0.942544577
,1.372557621,0.829145632
,-1.372557621,0.242348622
,-0.165035208,-1.088212662
,0.368991194,1.242215106
,-1.444440442,-1.065438625
,0.665615764,-1.912665764
,-4.185253374,-2.2389779
,-0.926623664,0.458755857
,-0.692270996,-0.421205753
,2.700074822,0.486828282
,2.637019924,-1.188812581
,-0.493156418,-0.987779889
,-5.35579175,1.416530528
,-0.632940196,1.288952056
,0.82623773,-0.548935039
,-2.689062641,-3.163585611
,1.242888321,0.289293031
,-0.478181252,-0.890280294
,1.021891712,1.295584243
,-0.569267861,-0.223506976
,2.299528601,0.96338825
,-0.358700697,-0.274836618
,-1.796080975,1.784065321
,-1.043458848,0.422900492
,1.510335463,0.656315752
,-0.475387145,0.218423491
,0.416087725,-0.104640496
,-0.65462848,-1.217664478
,2.093259255,0.967351911
,-1.277761175,-0.208320871
,0.169065975,0.140439271
,5.055821813,1.010725769
,0.791780839,0.232773131
,0.286373597,0.04291091
,2.075383051,0.37291564
,0.295218514,1.391028239
,0.926573672,-0.017561128
,-0.996411874,0.171127187
,1.303367841,0.451435475
,2.32507504,0.403337442
,-1.326315554,-0.021736957
,-0.524817305,0.045209303
,0.502045787,0.774901483
,-0.342034323,0.580479533
,1.075359888,-0.032589923
,-1.831976278,-0.509942676
,0.092013653,0.50823598
,-0.931748179,0.714537748
,-0.948318072,-0.550844768
,5.093008565,-0.170562174
,0.244636326,0.073745117
,0.044412616,0.566714641
,1.074730268,0.004265861
,-0.59482311,-0.327824247
,-2.960083052,0.738645411
,-0.243063543,0.789672875
,3.048349086,0.168287888
,-0.510301753,-0.589404277
,4.416489739,0.336866123
,-0.64053239,0.666166854
,0.810641586,0.176505056
,-0.739264809,0.068516658
,2.897119338,1.108836261
,1.061718328,0.084218438
,-2.53495218,-1.625798237
,0.182709122,0.451114103
,1.235060225,0.802604539
,1.534624672,-0.101951682
,2.468763675,0.226132103
,-4.399450426,0.709826739
,2.39400298,-0.430570397
,-3.521269214,-2.365964027
,-1.897912393,0.644195803
,1.693501397,1.286018033
,-3.321318062,-1.678781024
,0.284059322,1.303525799
,-5.732530578,-2.41271998
